Dataset,Vox_ID,VGGFace2_ID,Celebrity_Name,Gender,Nationality_Country,Audio_Preset_Folder,Audio_Sample_Path
VoxCeleb1,id10001,N/A,A.J. Buckley,Male,IRELAND,vox_A_J__Buckley_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_A_J__Buckley_male\reference.wav
VoxCeleb1,id10002,N/A,A.R. Rahman,Male,INDIA,vox_A_R__Rahman_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_A_R__Rahman_male\reference.wav
VoxCeleb1,id10003,N/A,Aamir Khan,Male,INDIA,vox_Aamir_Khan_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Aamir_Khan_male\reference.wav
VoxCeleb1,id10004,N/A,Aaron Tveit,Male,USA,vox_Aaron_Tveit_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Aaron_Tveit_male\reference.wav
VoxCeleb1,id10005,N/A,Aaron Yoo,Male,USA,vox_Aaron_Yoo_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Aaron_Yoo_male\reference.wav
VoxCeleb1,id10006,N/A,Abbie Cornish,Female,AUSTRALIA,vox_Abbie_Cornish_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Abbie_Cornish_female\reference.wav
VoxCeleb1,id10007,N/A,Abigail Breslin,Female,USA,vox_Abigail_Breslin_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Abigail_Breslin_female\reference.wav
VoxCeleb1,id10008,N/A,Abigail Spencer,Female,USA,vox_Abigail_Spencer_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Abigail_Spencer_female\reference.wav
VoxCeleb1,id10009,N/A,Adam Beach,Male,CANADA,vox_Adam_Beach_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Adam_Beach_male\reference.wav
VoxCeleb1,id10010,N/A,Adam Brody,Male,USA,vox_Adam_Brody_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Adam_Brody_male\reference.wav
VoxCeleb1,id10011,N/A,Adam Copeland,Male,CANADA,vox_Adam_Copeland_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Adam_Copeland_male\reference.wav
VoxCeleb1,id10012,N/A,Adam Driver,Male,USA,vox_Adam_Driver_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Adam_Driver_male\reference.wav
VoxCeleb1,id10013,N/A,Adrianne Curry,Female,USA,vox_Adrianne_Curry_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Adrianne_Curry_female\reference.wav
VoxCeleb1,id10014,N/A,Adrianne Palicki,Female,USA,vox_Adrianne_Palicki_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Adrianne_Palicki_female\reference.wav
VoxCeleb1,id10015,N/A,Agyness Deyn,Female,UK,vox_Agyness_Deyn_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Agyness_Deyn_female\reference.wav
VoxCeleb1,id10016,N/A,Aidan Turner,Male,IRELAND,vox_Aidan_Turner_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Aidan_Turner_male\reference.wav
VoxCeleb1,id10017,N/A,Ajay Devgn,Male,INDIA,vox_Ajay_Devgn_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ajay_Devgn_male\reference.wav
VoxCeleb1,id10018,N/A,Akshay Kumar,Male,INDIA,vox_Akshay_Kumar_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Akshay_Kumar_male\reference.wav
VoxCeleb1,id10019,N/A,Alain Delon,Male,NORWAY,vox_Alain_Delon_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alain_Delon_male\reference.wav
VoxCeleb1,id10020,N/A,Alan Alda,Male,USA,vox_Alan_Alda_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alan_Alda_male\reference.wav
VoxCeleb1,id10021,N/A,Alan Cumming,Male,UK,vox_Alan_Cumming_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alan_Cumming_male\reference.wav
VoxCeleb1,id10022,N/A,Alan Rickman,Male,UK,vox_Alan_Rickman_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alan_Rickman_male\reference.wav
VoxCeleb1,id10023,N/A,Alan Tudyk,Male,USA,vox_Alan_Tudyk_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alan_Tudyk_male\reference.wav
VoxCeleb1,id10024,N/A,Alba Rohrwacher,Female,ITALY,vox_Alba_Rohrwacher_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alba_Rohrwacher_female\reference.wav
VoxCeleb1,id10025,N/A,Aldis Hodge,Male,USA,vox_Aldis_Hodge_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Aldis_Hodge_male\reference.wav
VoxCeleb1,id10026,N/A,Alex Borstein,Female,USA,vox_Alex_Borstein_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alex_Borstein_female\reference.wav
VoxCeleb1,id10027,N/A,Alex Kingston,Female,UK,vox_Alex_Kingston_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alex_Kingston_female\reference.wav
VoxCeleb1,id10028,N/A,Alex Pettyfer,Male,UK,vox_Alex_Pettyfer_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alex_Pettyfer_male\reference.wav
VoxCeleb1,id10029,N/A,Alex Trebek,Male,USA,vox_Alex_Trebek_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alex_Trebek_male\reference.wav
VoxCeleb1,id10030,N/A,Alexa Davalos,Female,NORWAY,vox_Alexa_Davalos_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alexa_Davalos_female\reference.wav
VoxCeleb1,id10031,N/A,Alexander Siddig,Male,SUDAN,vox_Alexander_Siddig_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alexander_Siddig_male\reference.wav
VoxCeleb1,id10032,N/A,Alexandra Daddario,Female,USA,vox_Alexandra_Daddario_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alexandra_Daddario_female\reference.wav
VoxCeleb1,id10033,N/A,Alexandra Roach,Female,UK,vox_Alexandra_Roach_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alexandra_Roach_female\reference.wav
VoxCeleb1,id10034,N/A,Alexz Johnson,Female,CANADA,vox_Alexz_Johnson_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alexz_Johnson_female\reference.wav
VoxCeleb1,id10035,N/A,Alfre Woodard,Female,USA,vox_Alfre_Woodard_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alfre_Woodard_female\reference.wav
VoxCeleb1,id10036,N/A,Alice Eve,Female,UK,vox_Alice_Eve_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alice_Eve_female\reference.wav
VoxCeleb1,id10037,N/A,Alicja Bachleda,Female,MEXICO,vox_Alicja_Bachleda_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alicja_Bachleda_female\reference.wav
VoxCeleb1,id10038,N/A,Alison Arngrim,Female,USA,vox_Alison_Arngrim_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alison_Arngrim_female\reference.wav
VoxCeleb1,id10039,N/A,Alison Pill,Female,CANADA,vox_Alison_Pill_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Alison_Pill_female\reference.wav
VoxCeleb1,id10040,N/A,Allison Williams,Female,USA,vox_Allison_Williams_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Allison_Williams_female\reference.wav
VoxCeleb1,id10041,N/A,Amanda Seyfried,Female,USA,vox_Amanda_Seyfried_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Amanda_Seyfried_female\reference.wav
VoxCeleb1,id10042,N/A,Amaury Nolasco,Male,USA,vox_Amaury_Nolasco_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Amaury_Nolasco_male\reference.wav
VoxCeleb1,id10043,N/A,Amber Riley,Female,USA,vox_Amber_Riley_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Amber_Riley_female\reference.wav
